country,country_name,income_level_code,income_group,complete_years,first_complete_year,last_complete_year,included,exclusion_reason,coverage_rule,selected_country_set_sha256
HTI,Haiti,LMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
HUN,Hungary,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
IDN,Indonesia,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
IMN,Isle of Man,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
IND,India,LMC,Low and Middle Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
IRL,Ireland,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
IRN,"Iran, Islamic Rep.",UMC,Low and Middle Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
IRQ,Iraq,UMC,Low and Middle Income,4,2000,2005,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ISL,Iceland,HIC,High Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ISR,Israel,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ITA,Italy,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
JAM,Jamaica,UMC,Low and Middle Income,13,2000,2015,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
JOR,Jordan,UMC,Low and Middle Income,19,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
JPN,Japan,HIC,High Income,8,2013,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KAZ,Kazakhstan,UMC,Low and Middle Income,14,1996,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KEN,Kenya,LMC,Low and Middle Income,9,2000,2019,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KGZ,Kyrgyz Republic,LMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KHM,Cambodia,LMC,Low and Middle Income,17,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KIR,Kiribati,LMC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KNA,St. Kitts and Nevis,HIC,High Income,3,2008,2015,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KOR,"Korea, Rep.",HIC,High Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
KWT,Kuwait,HIC,High Income,11,1996,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LAO,Lao PDR,LMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LBN,Lebanon,LMC,Low and Middle Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LBR,Liberia,LIC,Low and Middle Income,3,2000,2012,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LBY,Libya,UMC,Low and Middle Income,3,2000,2003,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LCA,St. Lucia,UMC,Low and Middle Income,18,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LIE,Liechtenstein,HIC,High Income,1,2015,2015,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LKA,Sri Lanka,UMC,Low and Middle Income,11,2010,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LSO,Lesotho,LMC,Low and Middle Income,12,1996,2018,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LTU,Lithuania,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LUX,Luxembourg,HIC,High Income,12,2002,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
LVA,Latvia,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MAC,"Macao SAR, China",HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MAF,St. Martin (French part),HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MAR,Morocco,LMC,Low and Middle Income,21,1998,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MCO,Monaco,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MDA,Moldova,UMC,Low and Middle Income,11,2010,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MDG,Madagascar,LIC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MDV,Maldives,UMC,Low and Middle Income,7,2003,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MEX,Mexico,UMC,Low and Middle Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MHL,Marshall Islands,UMC,Low and Middle Income,5,2002,2019,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MKD,North Macedonia,UMC,Low and Middle Income,20,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MLI,Mali,LIC,Low and Middle Income,12,1996,2015,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MLT,Malta,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MMR,Myanmar,LMC,Low and Middle Income,5,1998,2018,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MNE,Montenegro,UMC,Low and Middle Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MNG,Mongolia,UMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MNP,Northern Mariana Islands,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MOZ,Mozambique,LIC,Low and Middle Income,19,1996,2018,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MRT,Mauritania,LMC,Low and Middle Income,20,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MUS,Mauritius,UMC,Low and Middle Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MWI,Malawi,LIC,Low and Middle Income,15,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
MYS,Malaysia,UMC,Low and Middle Income,21,1998,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NAM,Namibia,LMC,Low and Middle Income,15,1998,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NCL,New Caledonia,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NER,Niger,LIC,Low and Middle Income,15,2003,2019,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NGA,Nigeria,LMC,Low and Middle Income,5,2003,2011,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NIC,Nicaragua,LMC,Low and Middle Income,1,2002,2002,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NLD,Netherlands,HIC,High Income,16,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NOR,Norway,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NPL,Nepal,LMC,Low and Middle Income,20,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NRU,Naoero,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
NZL,New Zealand,HIC,High Income,8,2013,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
OMN,Oman,HIC,High Income,19,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PAK,Pakistan,LMC,Low and Middle Income,18,2003,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PAN,Panama,HIC,High Income,18,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PER,Peru,UMC,Low and Middle Income,9,1996,2017,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PHL,Philippines,UMC,Low and Middle Income,20,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PLW,Palau,HIC,High Income,3,2000,2013,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PNG,Papua New Guinea,LMC,Low and Middle Income,2,1996,1998,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
POL,Poland,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PRI,Puerto Rico (US),HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PRK,"Korea, Dem. People's Rep.",LIC,Low and Middle Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PRT,Portugal,HIC,High Income,6,2015,2020,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PRY,Paraguay,UMC,Low and Middle Income,10,1996,2010,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PSE,West Bank and Gaza,LMC,Low and Middle Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
PYF,French Polynesia,HIC,High Income,0,,,False,insufficient_complete_years,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
QAT,Qatar,HIC,High Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
ROU,Romania,HIC,High Income,19,2002,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
RUS,Russian Federation,HIC,High Income,21,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
RWA,Rwanda,LIC,Low and Middle Income,20,2000,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SAU,Saudi Arabia,HIC,High Income,22,1996,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SDN,Sudan,LIC,Low and Middle Income,15,2000,2015,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
SEN,Senegal,LMC,Low and Middle Income,17,2004,2020,True,included,"{""minimum_complete_years"":15,""period"":[1990,2020],""required_variables"":[""GDP_per_capita"",""CO2_per_capita"",""Education_Tertiary"",""Rule_of_Law""]}",17f5fefb766f651dd01b0ddf2b6b7706ebf68c7558c8e644fd152cda67e82ce8
